,class,sum
0,Insecta,4036
1,Actinopteri,3325
2,Mammalia,1570
3,Aves,1055
4,Malacostraca,482
5,Gastropoda,367
6,Amphibia,352
7,Lepidosauria,337
8,Arachnida,297
9,Anthozoa,263
10,Bivalvia,261
11,Chondrichthyes,213
12,Chromadorea,171
13,Cephalopoda,102
14,Polychaeta,77
15,Cestoda,66
16,Trematoda,63
17,Clitellata,62
18,Thecostraca,52
19,Echinoidea,40
20,Demospongiae,40
21,Branchiopoda,34
22,Collembola,31
23,Monogenea,29
24,Holothuroidea,27
25,Enoplea,26
26,Ophiuroidea,24
27,Asteroidea,24
28,Diplopoda,22
29,Ascidiacea,20
30,Hyperoartia,18
31,Pycnogonida,17
32,Crinoidea,16
33,Polyplacophora,16
34,Rhabditophora,13
35,Homoscleromorpha,13
36,Hexanauplia,11
37,Cladistia,11
38,Scyphozoa,10
39,Leptocardii,9
40,Pilidiophora,9
41,Hydrozoa,9
42,Enopla,9
43,Palaeacanthocephala,8
44,Enteropneusta,7
45,Chilopoda,7
46,Sagittoidea,7
47,Ichthyostraca,6
48,Gymnolaemata,6
49,Caudofoveata,5
50,Sipuncula,5
